C00728014|N|Q2|G2028|202507109762756437|24K|CAN|BUCHSER-LOCHOCKI, SUSAN|CORE|WV|26541|||06232025|84|C00728014||SB23.4388|1899771|||4071120251208193908
C00345173|A|M4|P2026|202505059759032226|24K|CCM|CELESTE FOR CONGRESS|CEDAR CITY|UT|84721|||03032025|2500|C00842765|H4UT02296|SB23.4504|1891061|||4050520251188758767
C00028787|N|M5|P2026|202505059758927116|24K|CCM|HUDSON FOR CONGRESS|CONCORD|NC|28027|||04082025|5000|C00504522|H2NC08185|12076985|1890925|||4050520251188754520
C00028787|N|M5|G2026|202505059758927115|24K|CCM|LUCAS FOR CONGRESS|OKLAHOMA CITY|OK|73101|||04012025|5000|C00287912|H4OK06056|12074207|1890925|||4050520251188754517
C00028787|N|M5|P2026|202505059758927116|24K|CCM|TIFFANY FOR WISCONSIN, INC.|WAUSAU|WI|54402|||04022025|2500|C00718635|H0WI07101|12074337|1890925|||4050520251188754519
C00028787|N|M5|G2026|202505059758927116|24K|CCM|HUDSON FOR CONGRESS|CONCORD|NC|28027|||04082025|5000|C00504522|H2NC08185|12076986|1890925|||4050520251188754521
C00028787|N|M5|P2026|202505059758927117|24K|CCM|DAVID ROUZER FOR CONGRESS|WILMINGTON|NC|28406|||04082025|2500|C00501643|H2NC07096|12076987|1890925|||4050520251188754522
C00028787|N|M5|P2026|202505059758927117|24K|CCM|ONDER FOR CONGRESS|SAINT CHARLES|MO|63303|||04082025|1000|C00870238|H4MO03221|12076988|1890925|||4050520251188754523
C00028787|N|M5|P2026|202505059758927117|24K|CCM|JANELLE BYNUM FOR CONGRESS|CLACKAMAS|OR|97015|||04082025|2500|C00843425|H4OR05304|12076989|1890925|||4050520251188754524
C00028787|N|M5|P2026|202505059758927118|24K|CCM|VAL HOYLE FOR CONGRESS|SPRINGFIELD|OR|97477|||04082025|2500|C00796144|H2OR04095|12076990|1890925|||4050520251188754525
C00028787|N|M5|P2026|202505059758927115|24K|CCM|LUCAS FOR CONGRESS|OKLAHOMA CITY|OK|73101|||04012025|5000|C00287912|H4OK06056|12074206|1890925|||4050520251188754516
C00028787|N|M5|P2026|202505059758927118|24K|CCM|ANDREA SALINAS FOR OREGON|TIGARD|OR|97281|||04082025|2500|C00793703|H2OR06066|12076991|1890925|||4050520251188754526
C00028787|N|M5|P2026|202505059758927118|24K|CCM|ANDY BARR FOR CONGRESS, INC.|LEXINGTON|KY|40588|||04142025|5000|C00467571|H0KY06104|12080123|1890925|||4050520251188754527
C00028787|N|M5|P2026|202505059758927119|24K|CCM|CLOUD FOR CONGRESS|VICTORIA|TX|77903|||04282025|1000|C00655332|H8TX27049|12083248|1890925|||4050520251188754528
C00028787|N|M5|P2026|202505059758927120|24K|CCM|CAROL FOR CONGRESS|ALEXANDRIA|WV|22314|||04282025|5000|C00653220|H8WV03097|12083252|1890925|||4050520251188754532
C00028787|N|M5|P2026|202505059758927119|24K|CCM|MOORE FOR WEST VIRGINIA, INC.|HARPERS FERRY|WV|25425|||04282025|2500|C00828947|H4WV02205|12083249|1890925|||4050520251188754529
C00028787|N|M5|G2026|202505059758927119|24K|CCM|AUGUST PFLUGER FOR CONGRESS|SAN ANGELO|TX|76902|||04282025|5000|C00719294|H0TX11230|12083250|1890925|||4050520251188754530
C00028787|N|M5|P2026|202505059758927120|24K|CCM|KAT FOR CONGRESS|GAINESVILLE|FL|32606|||04282025|5000|C00730895|H0FL03175|12083251|1890925|||4050520251188754531
C00028787|N|M5|P2026|202505059758927120|24K|CCM|GUTHRIE FOR CONGRESS|BOWLING GREEN|KY|42102|||04302025|5000|C00445023|H8KY02031|12083605|1890925|||4050520251188754533
C00250753|N|M3|P2026|202503109754082858|24K|CCM|CRAWFORD FOR CONGRESS|JONESBORO|AR|72403|||02202025|1500|C00462374|H0AR01083|SB23.1000|1879856|||4031020251179815077
C00250753|N|M3|P2026|202503109754082858|24K|CCM|CASTOR FOR CONGRESS|TAMPA|FL|33606|||02122025|5000|C00410761|H6FL11126|SB23.991|1879856|||4031020251179815075
C00250753|N|M3|P2026|202503109754082858|24K|CCM|CRAIG GOLDMAN FOR CONGRESS|FORT WORTH|TX|76185|||02212025|2500|C00855528|H4TX12065|SB23.998|1879856|||4031020251179815076
C00250753|N|M3|P2026|202503109754082859|24K|CCM|DIANA FOR CONGRESS|KINGSPORT|TN|37664|||02122025|2500|C00741090|H0TN01118|SB23.993|1879856|||4031020251179815078
C00250753|N|M3|P2026|202503109754082859|24K|CCM|GREG STEUBE FOR CONGRESS|SARASOTA|FL|342326402|||02122025|1500|C00671891|H8FL17053|SB23.995|1879856|||4031020251179815079
C00250753|N|M3|P2026|202503109754082859|24K|CCM|JAY OBERNOLTE FOR CONGRESS|WEST SACRAMENTO|CA|95799|||02122025|2500|C00720078|H0CA08135|SB23.994|1879856|||4031020251179815080
C00250753|N|M3|P2026|202503109754082860|24K|CCM|JOHN JAMES FOR CONGRESS, INC.|ST. CLAIR SHORES|MI|48080|||02212025|2500|C00803502|H2MI10150|SB23.999|1879856|||4031020251179815081
C00250753|N|M3|P2026|202503109754082860|24K|CCM|KEAN FOR CONGRESS INC|EDISON|NJ|08818|||02122025|1000|C00703058|H0NJ07261|SB23.992|1879856|||4031020251179815082
C00027532|N|M3|P2026|202503109754097950|24K|CCM|SIMPSON FOR CONGRESS|BLACKFOOT|ID|832211667|||02032025|1000|C00331397|H8ID02064|23425315|1879875|||4031020251179815764
C00027532|N|M3|P2026|202503109754097949|24K|CCM|KEN CALVERT FOR CONGRESS COMMITTEE|CORONA|CA|92878|||02032025|2500|C00257337|H2CA37023|23425313|1879875|||4031020251179815762
C00027532|N|M3|P2026|202503109754097949|24K|CCM|LISA MCCLAIN FOR CONGRESS|ROMEO|MI|48065|||02032025|2500|C00726042|H0MI10287|23425314|1879875|||4031020251179815763
C00027532|N|M3|P2026|202503109754097950|24K|CCM|CITIZENS TO ELECT RICK LARSEN|EVERETT|WA|98206|||02032025|1000|C00345546|H0WA02080|23425316|1879875|||4031020251179815765
C00027532|N|M3|P2026|202503109754097950|24K|CCM|ROB FOR PA|PITTSTON|PA|18640|||02032025|1000|C00852137|H4PA08124|23425318|1879875|||4031020251179815766
C00027532|N|M3|P2026|202503109754097951|24K|CCM|GUY FOR CONGRESS|PITTSBURGH|PA|15222|||02052025|1000|C00657833|H8PA18199|23425601|1879875|||4031020251179815768
